q_id,entity,q_status,type_clean,state,county,county_fips,geo_level,month,month_source,mw_1,region,metric_label,not_data_center_permits
Q206,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2011-10,q_date,12.0,West,generation_storage_interconnection_queue_activity,true
Q207,APS,withdrawn,Solar,AZ,Pinal,04021,county_fips,2011-10,q_date,30.0,West,generation_storage_interconnection_queue_activity,true
Q208,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2011-10,q_date,50.0,West,generation_storage_interconnection_queue_activity,true
Q209,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2011-10,q_date,50.0,West,generation_storage_interconnection_queue_activity,true
Q21,APS,withdrawn,Coal,AZ,Navajo,04017,county_fips,2006-03,q_date,401.0,West,generation_storage_interconnection_queue_activity,true
Q210,APS,withdrawn,Solar,AZ,Yavapai,04025,county_fips,2011-10,q_date,15.0,West,generation_storage_interconnection_queue_activity,true
Q211,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2011-11,q_date,16.0,West,generation_storage_interconnection_queue_activity,true
Q212,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2012-05,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q213,APS,operational,Solar,AZ,Yuma,04027,county_fips,2012-05,q_date,3.0,West,generation_storage_interconnection_queue_activity,true
Q214,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2012-06,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q215,APS,withdrawn,Solar,AZ,Yavapai,04025,county_fips,2012-06,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q216,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2012-07,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q217,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2017-09,q_date,35.0,West,generation_storage_interconnection_queue_activity,true
Q218,APS,withdrawn,Other,NM,San Juan,35045,county_fips,2013-03,q_date,1200.0,West,generation_storage_interconnection_queue_activity,true
Q219,APS,withdrawn,Other,AZ,Maricopa,04013,county_fips,2013-09,q_date,634.0,West,generation_storage_interconnection_queue_activity,true
Q22,APS,withdrawn,Wind,AZ,Yavapai,04025,county_fips,2006-06,q_date,85.0,West,generation_storage_interconnection_queue_activity,true
Q220,APS,withdrawn,Solar,AZ,Pinal,04021,county_fips,2013-11,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q221,APS,withdrawn,Solar,AZ,Cochise,04003,county_fips,2014-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q222,APS,operational,Gas,AZ,Maricopa,04013,county_fips,2014-08,q_date,595.0,West,generation_storage_interconnection_queue_activity,true
Q223,APS,withdrawn,Solar,AZ,Cochise,04003,county_fips,2014-08,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q224,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2014-09,q_date,50.0,West,generation_storage_interconnection_queue_activity,true
Q225,APS,active,Solar+Battery,AZ,Maricopa,04013,county_fips,2014-09,q_date,200.0,West,generation_storage_interconnection_queue_activity,true
Q226,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2014-12,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q227,APS,operational,Solar+Battery,AZ,Yuma,04027,county_fips,2015-08,q_date,500.0,West,generation_storage_interconnection_queue_activity,true
Q228,APS,operational,Solar,AZ,Pinal,04021,county_fips,2015-09,q_date,44.3,West,generation_storage_interconnection_queue_activity,true
Q229,APS,active,Battery,AZ,Maricopa,04013,county_fips,2015-09,q_date,50.0,West,generation_storage_interconnection_queue_activity,true
Q23,APS,withdrawn,Coal,AZ,Navajo,04017,county_fips,2006-06,q_date,400.0,West,generation_storage_interconnection_queue_activity,true
Q230,APS,active,Solar,AZ,Navajo,04017,county_fips,2015-09,q_date,200.0,West,generation_storage_interconnection_queue_activity,true
Q231,APS,withdrawn,Solar,AZ,Cochise,04003,county_fips,2015-10,q_date,17.5,West,generation_storage_interconnection_queue_activity,true
Q232,APS,withdrawn,Solar,AZ,Yavapai,04025,county_fips,2016-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q233,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2016-03,q_date,300.0,West,generation_storage_interconnection_queue_activity,true
Q234,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2016-03,q_date,200.0,West,generation_storage_interconnection_queue_activity,true
Q235,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2016-03,q_date,200.0,West,generation_storage_interconnection_queue_activity,true
Q236/272,APS,operational,Solar+Battery,AZ,Yuma,04027,county_fips,2016-03,q_date,70.0,West,generation_storage_interconnection_queue_activity,true
Q237,APS,withdrawn,Solar,AZ,Navajo,04017,county_fips,2016-03,q_date,75.0,West,generation_storage_interconnection_queue_activity,true
Q238,APS,withdrawn,Solar+Battery,AZ,Maricopa,04013,county_fips,2016-03,q_date,177.9,West,generation_storage_interconnection_queue_activity,true
Q239,APS,active,Solar+Battery,AZ,Pinal,04021,county_fips,2016-03,q_date,213.75,West,generation_storage_interconnection_queue_activity,true
Q24,APS,withdrawn,Coal,AZ,Navajo,04017,county_fips,2006-06,q_date,960.0,West,generation_storage_interconnection_queue_activity,true
Q240,APS,withdrawn,Solar,AZ,Pinal,04021,county_fips,2016-03,q_date,200.0,West,generation_storage_interconnection_queue_activity,true
