st_fips_raw,place_names,multiple_cities,predicted_st_fips,n_meta_rows,county_fips,state,county_name,all_county_fips,confidence,method,notes
0608954,Burbank city,0,,776,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0609780,California City city,0,,278,06029,CA,Kern County,06029,high,place_to_county,national_places → counties gazetteer
0609892,Calistoga city,0,,475,06055,CA,Napa County,06055,high,place_to_county,national_places → counties gazetteer
0610928,Canyon Lake city,0,,152,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0611194,Carlsbad city,0,,64,06073,CA,San Diego County,06073,high,place_to_county,national_places → counties gazetteer
0612524,Ceres city,0,,327,06099,CA,Stanislaus County,06099,high,place_to_county,national_places → counties gazetteer
0613014,Chico city,0,,304,06007,CA,Butte County,06007,high,place_to_county,national_places → counties gazetteer
0613945,Clearlake city,0,,614,06033,CA,Lake County,06033,high,place_to_county,national_places → counties gazetteer
0614190,Cloverdale city,0,,239,06097,CA,Sonoma County,06097,high,place_to_county,national_places → counties gazetteer
0616350,Corona city,0,,61,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0619766,Downey city,0,,205,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0620956,East Palo Alto city,0,,65,06081,CA,San Mateo County,06081,high,place_to_county,national_places → counties gazetteer
0622020,Elk Grove city,0,,12,06067,CA,Sacramento County,06067,high,place_to_county,national_places → counties gazetteer
0622594,Emeryville city,0,,1483,06001,CA,Alameda County,06001,high,place_to_county,national_places → counties gazetteer
0623168,Fairfax town,0,,407,06041,CA,Marin County,06041,high,place_to_county,national_places → counties gazetteer
0630000,Glendale city,0,,2519,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0631708,Half Moon Bay city,0,,69,06081,CA,San Mateo County,06081,high,place_to_county,national_places → counties gazetteer
0633182;0667112,Hemet city; San Jacinto city,1,0633182,13,06065,CA,Riverside County,06065,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0633182;0667112,Hemet city; San Jacinto city,1,0667112,15,06065,CA,Riverside County,06065,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0633182;0667112,Hemet city; San Jacinto city,1,UNKNOWN,10,06065,CA,Riverside County,06065,medium,compound_tokens_agree,all resolvable tokens agree on one county
0636546,Inglewood city,0,,551,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0639496,Lake Forest city,0,,360,06059,CA,Orange County,06059,high,place_to_county,national_places → counties gazetteer
0648648,Monrovia city,0,,815,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0649270,Moreno Valley city,0,,383,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0650398,National city,0,,35,06073,CA,San Diego County,06073,high,place_to_county,national_places → counties gazetteer
0651560,Norco city,0,,28,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0652526,Norwalk city,0,,10,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0653322,Oceanside city,0,,188,06073,CA,San Diego County,06073,high,place_to_county,national_places → counties gazetteer
0653476,Ojai city,0,,1130,06111,CA,Ventura County,06111,high,place_to_county,national_places → counties gazetteer
0654386,Oroville city,0,,428,06007,CA,Butte County,06007,high,place_to_county,national_places → counties gazetteer
0654806,Pacifica city,0,,1765,06081,CA,San Mateo County,06081,high,place_to_county,national_places → counties gazetteer
0656000,Pasadena city,0,,103,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0656700,Perris city,0,,8,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0657540,Placerville city,0,,138,06017,CA,El Dorado County,06017,high,place_to_county,national_places → counties gazetteer
0659500,Rancho Mirage city,0,,319,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0660466,Rialto city,0,,103,06071,CA,San Bernardino County,06071,high,place_to_county,national_places → counties gazetteer
0661026,Ripon city,0,,195,06077,CA,San Joaquin County,06077,high,place_to_county,national_places → counties gazetteer
0661068;06077,Riverbank city; San Joaquin County,1,06077,1,06077,CA,San Joaquin County,06077,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
0661068;06077,Riverbank city; San Joaquin County,1,0661068,249,06099,CA,Stanislaus County,06099,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0661068;06077,Riverbank city; San Joaquin County,1,UNKNOWN,116,,,,06077;06099,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
0662602,Rolling Hills,0,,122,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0662938,Roseville city,0,,436,06061,CA,Placer County,06061,high,place_to_county,national_places → counties gazetteer
0664224,Salinas city,0,,1705,06053,CA,Monterey County,06053,high,place_to_county,national_places → counties gazetteer
0664434;0623168;0670364,San Anselmo town; Fairfax town; Sausalito city,1,0623168,10,06041,CA,Marin County,06041,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0664434;0623168;0670364,San Anselmo town; Fairfax town; Sausalito city,1,0664434,7,06041,CA,Marin County,06041,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0664434;0623168;0670364,San Anselmo town; Fairfax town; Sausalito city,1,0670364,3,06041,CA,Marin County,06041,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0664434;0623168;0670364,San Anselmo town; Fairfax town; Sausalito city,1,UNKNOWN,144,06041,CA,Marin County,06041,medium,compound_tokens_agree,all resolvable tokens agree on one county
0665000,San Bernardino city,0,,3,06071,CA,San Bernardino County,06071,high,place_to_county,national_places → counties gazetteer
0665028,San Bruno city,0,,3474,06081,CA,San Mateo County,06081,high,place_to_county,national_places → counties gazetteer
0666070,San Dimas city,0,,21,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0668252,San Mateo city,0,,45,06081,CA,San Mateo County,06081,high,place_to_county,national_places → counties gazetteer
0669000,Santa Ana city,0,,7,06059,CA,Orange County,06059,high,place_to_county,national_places → counties gazetteer
0669084,Santa Clara city,0,,4,06085,CA,Santa Clara County,06085,high,place_to_county,national_places → counties gazetteer
0669088,Santa Clarita,0,,658,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0670000,Santa Monica city,0,,703,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0670098,Santa Rosa city,0,,713,06097,CA,Sonoma County,06097,high,place_to_county,national_places → counties gazetteer
0670742,Seaside city,0,,624,06053,CA,Monterey County,06053,high,place_to_county,national_places → counties gazetteer
0670882,Selma city,0,,481,06019,CA,Fresno County,06019,high,place_to_county,national_places → counties gazetteer
0672016,Simi Valley city,0,,6,06111,CA,Ventura County,06111,high,place_to_county,national_places → counties gazetteer
0673108,South Lake Tahoe city,0,,6,06017,CA,El Dorado County,06017,high,place_to_county,national_places → counties gazetteer
0675000;06077,Stockton city; San Joaquin County,1,06077,2,06077,CA,San Joaquin County,06077,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
0675000;06077,Stockton city; San Joaquin County,1,0675000,15,06077,CA,San Joaquin County,06077,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0675000;06077,Stockton city; San Joaquin County,1,UNKNOWN,31,06077,CA,San Joaquin County,06077,medium,compound_tokens_agree,all resolvable tokens agree on one county
0677364;06035,Susanville city; Lassen County,1,06035,500,06035,CA,Lassen County,06035,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
0677364;06035,Susanville city; Lassen County,1,0677364,6,06035,CA,Lassen County,06035,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0677364;06035,Susanville city; Lassen County,1,UNKNOWN,39,06035,CA,Lassen County,06035,medium,compound_tokens_agree,all resolvable tokens agree on one county
0678092,Tehachapi city,0,,222,06029,CA,Kern County,06029,high,place_to_county,national_places → counties gazetteer
0678120,Temecula city,0,,530,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0678148,Temple City city,0,,304,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0678582,Thousand Oaks city,0,,9,06111,CA,Ventura County,06111,high,place_to_county,national_places → counties gazetteer
0680812,Turlock city,0,,328,06099,CA,Stanislaus County,06099,high,place_to_county,national_places → counties gazetteer
0681666,Vallejo city,0,,27,06095,CA,Solano County,06095,high,place_to_county,national_places → counties gazetteer
0683668,Watsonville city,0,,51,06087,CA,Santa Cruz County,06087,high,place_to_county,national_places → counties gazetteer
0684200,West Covina city,0,,603,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0684550,Westminster city,0,,30,06059,CA,Orange County,06059,high,place_to_county,national_places → counties gazetteer
0685292,Whittier city,0,,14,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0685446,Wildomar city,0,,60,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0686972,Yuba City city,0,,2467,06101,CA,Sutter County,06101,high,place_to_county,national_places → counties gazetteer
0801090,Alamosa city,0,,286,08003,CO,Alamosa County,08003,high,place_to_county,national_places → counties gazetteer
0804935,Basalt town,0,,290,,CO,,08037;08097,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0807850,Boulder city,0,,1205,08013,CO,Boulder County,08013,high,place_to_county,national_places → counties gazetteer
