st_fips_raw,place_names,multiple_cities,predicted_st_fips,n_meta_rows,county_fips,state,county_name,all_county_fips,confidence,method,notes
3464050; 3413420; 3458770; 3426820; 3402200; 3410000; 3440440; 34007,Rockaway borough; Clementon borough; Pine Hill borough; Gloucester City city; Audubon borough; Camden city; Lindenwold borough; Camden County,1,UNKNOWN,16,,,,34007;34027,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
3611759; 3620104; 3627573; 36105; 3642235; 3648175; 3673627; 3675759,Callicoon town; Delaware town; Fremont town; Sullivan County; Liberty town; Monticello village; Thompson town; Tusten town,1,UNKNOWN,96,,,,36105;48175,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
3701720,Archdale City,0,,5,,NC,,37081;37151,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3704510,Beech Mountain Town,0,,154,,NC,,37011;37189,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3709060,Burlington city,0,,463,,NC,,37001;37081,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3710740,Cary Town,0,,369,,NC,,37037;37183,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3712860,Clayton Town,0,,247,,NC,,37101;37183,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3719000,Durham city,0,,1000,,NC,,37063;37135;37183,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
3731060,Hickory City,0,,58,,NC,,37023;37027;37035,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
3731400,High Point City,0,,294,,NC,,37057;37067;37081;37151,low,ambiguous_multi_county_place,place spans 4 counties; FIPS not invented
3735600,Kernersville Town,0,,84,,NC,,37067;37081,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3735760,King City,0,,26,,NC,,37067;37169,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3742240,Mebane City,0,,156,,NC,,37001;37135,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3743480,Mint Hill Town,0,,76,,NC,,37119;37179,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3745100,Mount Olive Town,0,,4,,NC,,37061;37191,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3755000,Raleigh City,0,,1067,,NC,,37063;37183,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3757500,Rocky Mount City,0,,190,,NC,,37065;37127,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3760505,Seven Devils Town,0,,12,,NC,,37011;37189,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3764420,Stallings Town,0,,175,,NC,,37119;37179,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3766040,Surf City town,0,,166,,NC,,37133;37141,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3771680,Weddington Town,0,,69,,NC,,37119;37179,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3776220,Zebulon Town,0,,163,,NC,,37101;37183,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
39021; 1712385,Champaign County; Champaign city,1,UNKNOWN,14,,,,17019;39021,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
3909890,Buckeye Lake village,0,,3,,OH,,39045;39089,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3913190,Centerville city,0,,68,,OH,,39057;39113,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3918000,Columbus city,0,,854,,OH,,39041;39045;39049,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
3922694,Dublin city,0,,370,,OH,,39041;39049;39159,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
3936610,Huber Heights city,0,,13,,OH,,39057;39109;39113,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
3944912; 3911360; 39099,Lordstown village; Canfield city; Mahoning County,1,UNKNOWN,295,,,,39099;39155,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
3949840,Middletown city,0,,420,,OH,,39017;39165,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3963030,Plain City village,0,,38,,OH,,39097;39159,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
3964108; 39155,Portage village; Trumbull County,1,UNKNOWN,282,,,,39155;39173,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
3975602; 42097,Sunbury village; Northumberland County,1,UNKNOWN,377,,,,39041;42097,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
4004450,Bartlesville city,0,,174,,OK,,40113;40147,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4006400,Bixby city,0,,24,,OK,,40143;40145,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4055000,Oklahoma City city,0,,1754,,OK,,40017;40027;40109;40125,low,ambiguous_multi_county_place,place spans 4 counties; FIPS not invented
4101000,Albany city,0,,538,,OR,,41003;41043,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4159000,Portland city,0,,276,,OR,,41005;41051;41067,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
42051; 4243128,Fayette County; Liberty borough,1,UNKNOWN,39,,,,42051;42117,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
4276904; 42121,Titusville city; Venango County,1,UNKNOWN,57,,,,42039;42121,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
4504300,Batesburg-Leesville town,0,,223,,SC,,45063;45081,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4512655,Cayce city,0,,4,,SC,,45063;45079,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4513330,Charleston city,0,,583,,SC,,45015;45019,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4550695,North Augusta city,0,,19,,SC,,45003;45037,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4550875,North Charleston city,0,,209,,SC,,45015;45019;45035,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
4604980,Beresford city,0,,267,,SD,,46083;46127,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4659020,Sioux Falls city,0,,2318,,SD,,46083;46099,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4737640; 47087,Jackson city; Jackson County,1,UNKNOWN,88,,,,47087;47113,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
4738320,Johnson City city,0,,356,,TN,,47019;47163;47179,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
4763140,Ridgetop city,0,,182,,TN,,47037;47147,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4805000,Austin city,0,,55,,TX,,48209;48453;48491,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
4813024,Carrollton city,0,,72,,TX,,48085;48113;48121,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
4819000,Dallas city,0,,14,,TX,,48085;48113;48121;48257;48397,low,ambiguous_multi_county_place,place spans 5 counties; FIPS not invented
4827648,Friendswood city,0,,447,,TX,,48167;48201,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
